brand,years,usingyears,tag_price,source,color,mileage,certificate,residual_value,log_residualPrice
FORD,2009,9,57.1,8891,銀,65000,0,43.78,1.64 
FORD,2009,9,57.1,8891,銀,142000,0,18.91,1.28 
FORD,2009,9,57.1,8891,銀,81000,0,41.68,1.62 
FORD,2009,9,57.1,8891,銀,140000,0,41.68,1.62 
FORD,2009,9,57.1,8891,藍,112000,0,46.94,1.67 
FORD,2014,4,69.9,SUM,白,62000,1,66.95,1.83 
FORD,2014,4,69.9,SUM,灰,28167,1,65.67,1.82 
FORD,2014,4,69.9,8891,白,20000,0,70.96,1.85 
FORD,2014,4,69.9,8891,白,30000,0,26.9,1.43 
FORD,2014,4,69.9,8891,白,90000,0,56.94,1.76 
FORD,2014,4,69.9,8891,白,50000,0,36.91,1.57 
FORD,2014,4,69.9,8891,白,12000,0,46.92,1.67 
FORD,2014,4,69.9,8891,白,33000,0,26.9,1.43 
FORD,2014,4,69.9,8891,白,40000,0,44.06,1.64 
FORD,2014,4,69.9,8891,白,20000,0,34.33,1.54 
FORD,2014,4,69.9,8891,白,33000,0,64.38,1.81 
FORD,2014,4,69.9,8891,白,50000,0,47.21,1.67 
FORD,2014,4,69.9,8891,白,19000,0,75.54,1.88 
FORD,2014,4,69.9,8891,灰,60000,0,66.95,1.83 
FORD,2014,4,69.9,8891,銀,23000,0,55.79,1.75 
FORD,2014,4,69.9,8891,白,50000,1,74.11,1.87 
FORD,2014,4,69.9,8891,白,58000,0,54.36,1.74 
FORD,2014,4,69.9,8891,白,50000,0,55.51,1.74 
FORD,2014,4,69.9,8891,白,55000,0,48.07,1.68 
FORD,2014,4,69.9,8891,銀,64000,0,54.36,1.74 
FORD,2014,4,69.9,8891,銀,34000,0,51.5,1.71 
FORD,2014,4,69.9,8891,白,12000,0,46.92,1.67 
FORD,2014,4,69.9,8891,銀,21000,0,66.95,1.83 
FORD,2014,4,69.9,8891,銀,10000,0,66.52,1.82 
FORD,2014,4,69.9,8891,白,78000,0,41.2,1.61 
FORD,2014,4,69.9,8891,白,46000,0,50.79,1.71 
FORD,2014,4,69.9,8891,白,33000,0,55.51,1.74 
FORD,2014,4,69.9,8891,白,19000,0,75.54,1.88 
FORD,2014,4,69.9,8891,藍,81406,0,48.5,1.69 
FORD,2014,4,69.9,Yahoo,白,39019,0,42.2,1.63 
FORD,2014,4,69.9,Yahoo,橙,60000,0,50.07,1.70 
FORD,2014,4,69.9,UCar,其他,27420,0,70.1,1.85 
FORD,2014,4,69.9,UCar,銀,66574,0,77.25,1.89 
FORD,2014,4,69.9,UCar,白,19000,0,75.82,1.88 
FORD,2014,4,69.9,UCar,白,74963,0,68.67,1.84 
FORD,2015,3,69.9,8891,白,30000,0,52.65,1.72 
FORD,2015,3,69.9,8891,橙,9693,0,81.26,1.91 
FORD,2015,3,69.9,8891,白,9000,0,79.54,1.90 
FORD,2015,3,69.9,8891,藍,31000,0,76.68,1.88 
FORD,2015,3,69.9,8891,白,30000,0,52.65,1.72 
FORD,2015,3,69.9,UCar,其他,9693,0,81.55,1.91 
FORD,2015,3,69.9,abc,白,24400,0,78.4,1.89 
FORD,2016,2,69.9,8891,白,2217,0,76.97,1.89 
FORD,2016,2,69.9,8891,白,20000,0,74.11,1.87 
FORD,2016,2,69.9,8891,銀,7732,0,76.97,1.89 
FORD,2016,2,69.9,8891,橙,6000,0,78.4,1.89 
FORD,2008,10,69.9,8891,銀,110000,0,41.2,1.61 
FORD,2008,10,69.9,8891,白,75000,0,22.89,1.36 
FORD,2008,10,69.9,8891,黑,109000,0,51.22,1.71 
FORD,2008,10,69.9,8891,銀,85000,0,26.9,1.43 
FORD,2008,10,69.9,8891,白,170000,0,45.49,1.66 
FORD,2008,10,69.9,8891,銀,169000,0,38.34,1.58 
FORD,2008,10,69.9,8891,黑,152000,0,42.63,1.63 
FORD,2008,10,69.9,8891,白,80000,0,36.91,1.57 
FORD,2008,10,69.9,8891,銀,77000,0,36.91,1.57 
FORD,2008,10,69.9,UCar,黑,153000,0,42.92,1.63 
FORD,2008,10,106.9,8891,灰,139000,0,26.19,1.42 
FORD,2009,9,63.9,8891,銀,99000,0,29.42,1.47 
FORD,2009,9,63.9,8891,灰,60000,0,34.12,1.53 
FORD,2009,9,63.9,8891,灰,60000,0,40.38,1.61 
FORD,2009,9,63.9,8891,灰,60000,0,46.64,1.67 
FORD,2009,9,63.9,8891,灰,160000,0,40.38,1.61 
FORD,2009,9,63.9,8891,黑,62000,0,35.68,1.55 
FORD,2009,9,63.9,8891,黑,100000,0,48.51,1.69 
FORD,2009,9,63.9,8891,灰,160000,1,39.91,1.60 
FORD,2009,9,63.9,8891,灰,160000,1,37.25,1.57 
FORD,2009,9,63.9,8891,灰,160000,1,39.91,1.60 
FORD,2009,9,63.9,8891,黑,90000,0,46.79,1.67 
FORD,2009,9,63.9,8891,灰,35000,0,61.03,1.79 
FORD,2009,9,63.9,8891,黑,70000,0,57.59,1.76 
FORD,2009,9,63.9,8891,銀,53000,1,21.6,1.33 
FORD,2009,9,63.9,8891,銀,53000,0,21.6,1.33 
FORD,2009,9,63.9,8891,白,160000,0,46.64,1.67 
FORD,2009,9,63.9,8891,黑,100000,0,45.07,1.65 
FORD,2009,9,63.9,8891,灰,160000,0,40.38,1.61 
FORD,2009,9,63.9,8891,黑,100000,0,45.38,1.66 
FORD,2009,9,63.9,Yahoo,白,160000,0,46.64,1.67 
FORD,2009,9,63.9,UCar,銀,93421,0,43.82,1.64 
FORD,2009,9,63.9,UCar,黑,160106,0,50.08,1.70 
FORD,2010,8,71.9,SUM,白,79569,1,58.14,1.76 
FORD,2010,8,71.9,SUM,白,95175,1,49.79,1.70 
FORD,2010,8,71.9,SUM,灰,90000,0,51.18,1.71 
FORD,2010,8,71.9,SUM,灰,138196,1,52.57,1.72 
FORD,2010,8,71.9,SUM,灰,81876,1,53.96,1.73 
FORD,2010,8,71.9,8891,黑,64000,0,30.6,1.49 
FORD,2010,8,71.9,8891,白,120000,0,41.45,1.62 
FORD,2010,8,71.9,8891,銀,193000,1,45.62,1.66 
FORD,2010,8,71.9,8891,銀,193000,1,45.62,1.66 
FORD,2010,8,71.9,8891,銀,93000,0,38.66,1.59 
FORD,2010,8,71.9,8891,黑,198000,1,49.79,1.70 
FORD,2010,8,71.9,8891,灰,80000,0,41.45,1.62 
FORD,2010,8,71.9,8891,灰,60000,0,26.43,1.42 
FORD,2010,8,71.9,8891,灰,60000,0,34.49,1.54 
FORD,2010,8,71.9,8891,灰,50000,0,37.27,1.57 
FORD,2010,8,71.9,8891,灰,70000,0,45.62,1.66 
FORD,2010,8,71.9,8891,黑,104000,0,53.96,1.73 
FORD,2010,8,71.9,8891,灰,77000,0,48.4,1.68 
FORD,2010,8,71.9,8891,灰,83000,0,48.4,1.68 
FORD,2010,8,71.9,8891,黑,75000,0,30.32,1.48 
FORD,2010,8,71.9,8891,黑,148000,0,26.15,1.42 
FORD,2010,8,71.9,8891,黑,85000,0,33.38,1.52 
FORD,2010,8,71.9,8891,銀,96000,0,27.82,1.44 
FORD,2010,8,71.9,8891,灰,100000,0,51.18,1.71 
FORD,2010,8,71.9,8891,灰,63000,0,54.94,1.74 
FORD,2010,8,71.9,8891,銀,140000,0,41.45,1.62 
FORD,2010,8,71.9,8891,黑,100000,0,21.84,1.34 
FORD,2010,8,71.9,8891,灰,80000,0,53.96,1.73 
FORD,2010,8,71.9,8891,銀,139000,0,41.45,1.62 
FORD,2010,8,71.9,8891,黑,40000,0,26.7,1.43 
FORD,2010,8,71.9,8891,銀,53000,1,19.19,1.28 
FORD,2010,8,71.9,8891,銀,157000,0,40.19,1.60 
FORD,2010,8,71.9,8891,白,82000,0,49.79,1.70 
FORD,2010,8,71.9,8891,白,80000,0,27.54,1.44 
FORD,2010,8,71.9,8891,黑,97000,0,49.79,1.70 
FORD,2010,8,71.9,8891,棕,100000,0,52.57,1.72 
FORD,2010,8,71.9,8891,灰,138000,0,52.57,1.72 
FORD,2010,8,71.9,8891,黑,70000,0,47.01,1.67 
FORD,2010,8,71.9,8891,銀,60000,0,37.27,1.57 
FORD,2010,8,71.9,8891,白,97000,0,44.51,1.65 
FORD,2010,8,71.9,8891,黑,198000,0,49.79,1.70 
FORD,2010,8,71.9,8891,灰,40000,0,27.82,1.44 
FORD,2010,8,71.9,8891,灰,80000,0,41.45,1.62 
FORD,2010,8,71.9,8891,灰,60000,0,48.4,1.68 
FORD,2010,8,71.9,8891,深藍,86000,0,31.71,1.50 
FORD,2010,8,71.9,8891,灰,60000,0,30.32,1.48 
FORD,2010,8,71.9,8891,黑,104000,0,53.96,1.73 
FORD,2010,8,71.9,UCar,藍,121111,0,50.07,1.70 
FORD,2010,8,71.9,UCar,銀,193000,0,45.9,1.66 
FORD,2010,8,71.9,UCar,黑,97100,0,50.07,1.70 
FORD,2010,8,71.9,UCar,銀,150107,0,48.68,1.69 
FORD,2010,8,71.9,UCar,黑,105606,0,51.46,1.71 
FORD,2010,8,71.9,UCar,銀,131112,0,58.41,1.77 
FORD,2010,8,71.9,UCar,黑,81894,0,54.24,1.73 
FORD,2010,8,71.9,UCar,黑,80000,0,52.85,1.72 
FORD,2010,8,71.9,abc,灰,93444,0,51.18,1.71 
FORD,2010,8,71.9,abc,黑,103846,0,53.96,1.73 
FORD,2010,8,71.9,abc,黑,93202,0,55.35,1.74 
FORD,2010,8,71.9,abc,黑,93202,0,55.35,1.74 
FORD,2011,7,72.9,SUM,黑,100600,1,49.11,1.69 
FORD,2011,7,72.9,SUM,黑,67660,1,57.34,1.76 
FORD,2011,7,72.9,SUM,灰,85952,1,57.34,1.76 
FORD,2011,7,72.9,SUM,灰,74000,0,54.6,1.74 
FORD,2011,7,72.9,SUM,深藍,133800,0,55.83,1.75 
FORD,2011,7,72.9,SUM,藍,76246,1,57.34,1.76 
FORD,2011,7,72.9,8891,銀,83000,0,50.48,1.70 
FORD,2011,7,72.9,8891,灰,57000,0,35.67,1.55 
