brand,years,usingyears,tag_price,cc,gasoline,max_,compression,doors,source,mileage,type_number,certificate,residual_value
TOYOTA,2016,2,58.9,1500,¨Tªo,109,10.5,5,abc,8706,5,0,99.83022071
MAZDA,2017,1,77.9,2000,¨Tªo,165,14,4,8891,10000,4,0,99.74326059
NISSAN,2017,1,93.9,1600,¨Tªo,117,10.7,5,Yahoo,3986,4,1,99.68051118
NISSAN,2017,1,93.9,1600,¨Tªo,117,10.7,5,8891,3000,4,0,99.68051118
TOYOTA,2016,2,145,2400,¨Tªo,170,9.8,5,8891,3000,2,0,99.17241379
NISSAN,2016,2,72.5,1600,¨Tªo,115,9.8,5,SUM,7993,6,1,99.03448276
MAZDA,2016,2,76.9,2000,¨Tªo,165,14,5,UCar,10088,5,0,98.82964889
MAZDA,2016,2,75.9,2000,¨Tªo,165,14,4,8891,11000,3,0,98.81422925
MAZDA,2016,2,77.9,2000,¨Tªo,156,14,5,8891,10000,2,0,98.71630295
TOYOTA,2015,3,84.9,2000,¨Tªo,148,9.8,4,abc,19000,1,1,98.70435807
FORD,2015,3,74.9,2000,¨Tªo,170,12,5,8891,4563,3,0,98.53137517
HONDA,2016,2,145,2400,¨Tªo,175,10.1,5,8891,20000,2,0,98.48275862
HONDA,2016,2,145,2400,¨Tªo,175,10.1,5,Yahoo,15000,2,0,98.48275862
MAZDA,2014,4,69.9,2000,¨Tªo,151,10,4,8891,27000,2,0,98.42632332
MAZDA,2014,4,69.9,1500,¨Tªo,103,10,5,8891,19000,1,0,98.42632332
NISSAN,2014,4,52.9,1600,¨Tªo,109,9.8,4,UCar,15000,2,0,98.29867675
FORD,2016,2,75.9,1500,¨Tªo,180,10,5,8891,30000,2,0,98.28722003
NISSAN,2014,4,52.9,1600,¨Tªo,109,9.8,4,abc,49199,2,0,97.92060491
NISSAN,2016,2,93.9,1600,¨Tªo,117,10.7,5,8891,5000,4,0,97.76357827
MAZDA,2015,3,80.9,2000,¨Tªo,165,14,5,8891,25000,2,0,97.52781211
TOYOTA,2016,2,84.9,2000,¨Tªo,146,10,5,8891,15000,2,0,97.52650177
MAZDA,2015,3,80.9,2000,¨Tªo,165,14,5,8891,26000,2,0,97.40420272
MAZDA,2015,3,80.9,2000,¨Tªo,165,14,5,8891,20000,2,0,97.40420272
MAZDA,2016,2,76.9,2000,¨Tªo,165,14,5,8891,12000,2,0,97.26918075
MAZDA,2016,2,76.9,2000,¨Tªo,165,14,5,8891,5658,2,0,97.26918075
FORD,2016,2,75.9,1500,¨Tªo,180,10,5,8891,24000,2,0,97.23320158
TOYOTA,2017,1,95.9,1200,¨Tªo,116,10,5,8891,1500,3,0,96.97601668
VOLKSWAGEN,2016,2,114.8,1400,¨Tªo,160,10,5,Yahoo,25000,2,0,96.68989547
HONDA,2015,3,145,2400,¨Tªo,175,10.1,5,UCar,29200,2,0,96.55172414
TOYOTA,2016,2,58.9,1500,¨Tªo,109,10.5,5,abc,3863,5,1,96.43463497
MAZDA,2015,3,80.9,2000,¨Tªo,165,14,5,SUM,37000,2,0,96.41532756
HONDA,2015,3,145,2400,¨Tªo,175,10.1,5,8891,30000,2,0,96.4137931
HONDA,2015,3,145,2400,¨Tªo,175,10.1,5,Yahoo,29200,2,1,96.4137931
HONDA,2015,3,145,2400,¨Tªo,175,10.1,5,8891,29000,2,0,96.4137931
HONDA,2015,3,145,2400,¨Tªo,175,10.1,5,SUM,18100,2,1,96.4137931
TOYOTA,2015,3,113.9,2500,ªo¹q,205,12.5,4,abc,9793,6,1,96.40035119
NISSAN,2014,4,52.9,1600,¨Tªo,109,9.8,4,abc,15681,2,1,96.21928166
TOYOTA,2016,2,108,2500,¨Tªo,180,10.4,5,abc,30200,2,1,96.11111111
TOYOTA,2014,4,51.9,1500,¨Tªo,109,10.5,4,abc,60131,2,1,95.95375723
MAZDA,2015,3,75.9,2000,¨Tªo,165,14,4,8891,32000,4,1,95.91567852
MAZDA,2016,2,75.9,2000,¨Tªo,165,14,4,8891,10000,3,0,95.91567852
HONDA,2015,3,145,2400,¨Tªo,175,10.1,5,UCar,25300,2,0,95.86206897
HONDA,2015,3,145,2400,¨Tªo,175,10.1,5,UCar,14000,2,0,95.86206897
FORD,2016,2,92.9,1500,¨Tªo,180,10,5,UCar,4000,3,0,95.80193757
FORD,2015,3,96.9,2000,®ãªo,163,16,4,8891,40000,2,0,95.76883385
LEXUS,2016,2,239,2000,¨Tªo,238,10,5,SUM,10829,3,0,95.73221757
HONDA,2015,3,145,2400,¨Tªo,175,10.1,5,Yahoo,25300,2,1,95.72413793
HONDA,2015,3,145,2400,¨Tªo,175,10.1,5,8891,25000,2,0,95.72413793
HONDA,2015,3,145,2400,¨Tªo,175,10.1,5,Yahoo,14300,2,1,95.72413793
HONDA,2015,3,145,2400,¨Tªo,175,10.1,5,8891,14000,2,0,95.72413793
HONDA,2016,2,89.9,2400,¨Tªo,190,10,5,abc,7264,4,0,95.6618465
NISSAN,2016,2,93.9,1600,¨Tªo,117,10.7,5,8891,7000,4,0,95.63365282
TOYOTA,2016,2,69.9,1800,¨Tªo,140,10,4,8891,10000,7,0,95.56509299
TOYOTA,2016,2,69.9,1800,¨Tªo,140,10,4,SUM,6111,7,0,95.56509299
FORD,2017,1,111.9,2000,¨Tªo,245,9.7,5,8891,8000,2,0,95.44235925
HONDA,2016,2,89.9,2400,¨Tªo,190,10,5,8891,8000,4,0,95.43937709
HONDA,2016,2,89.9,2400,¨Tªo,190,10,5,8891,8000,4,0,95.43937709
